Institution Name,Students enrolled exclusively in distance education courses (EF2018A_DIST  Undergraduate total),Students enrolled in some but not all distance education courses (EF2018A_DIST  Undergraduate total),Student not enrolled in any distance education courses (EF2018A_DIST  Undergraduate total),Students enrolled exclusively in distance education courses (EF2018A_DIST  Graduate),Students enrolled in some but not all distance education courses (EF2018A_DIST  Graduate),Student not enrolled in any distance education courses (EF2018A_DIST  Graduate),Students enrolled exclusively in distance education courses (EF2017A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2017A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2017A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2017A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2017A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2017A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2016A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2016A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2016A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2016A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2016A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2016A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2015A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2015A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2015A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2015A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2015A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2015A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2014A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2014A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2014A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2014A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2014A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2014A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2013A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2013A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2013A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2013A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2013A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2013A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2012A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2012A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2012A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2012A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2012A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2012A_DIST_RV  Graduate)
Bais Medrash Toras Chesed,NA,NA,106,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,126,NA,NA,NA
Baker College,2638,2407,3929,320,0,38,4097,2877,4629,391,0,24,5193,3203,12309,485,0,20,5143,2944,17258,553,1,18,158,403,3159,2,3,1,220,471,4257,2,3,24,269,640,4595,4,2,24
Baker University,213,88,1492,458,243,275,236,0,1535,393,0,530,278,0,1589,357,0,502,180,0,1539,331,0,639,366,49,1433,445,129,535,342,434,1121,463,611,105,367,102,1467,442,175,658
Bakersfield College,1875,4434,18280,NA,NA,NA,1567,3337,18291,NA,NA,NA,1333,3103,18274,NA,NA,NA,1278,2493,16677,NA,NA,NA,947,1895,15856,NA,NA,NA,890,1715,15165,NA,NA,NA,832,1883,14629,NA,NA,NA
Bakke Graduate University,NA,NA,NA,68,13,0,NA,NA,NA,44,23,0,NA,NA,NA,46,11,1,NA,NA,NA,0,174,0,NA,NA,NA,0,186,0,NA,NA,NA,0,126,0,NA,NA,NA,0,183,0
Baldwin Beauty School-North Austin,NA,NA,104,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,42,NA,NA,NA,0,0,72,NA,NA,NA,0,0,79,NA,NA,NA,0,0,107,NA,NA,NA
Baldwin Beauty School-South Austin,NA,NA,76,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,43,NA,NA,NA,0,0,69,NA,NA,NA,0,0,76,NA,NA,NA,0,0,70,NA,NA,NA
Baldwin Park Adult & Community Education,NA,NA,399,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,386,NA,NA,NA,NA,NA,427,NA,NA,NA,NA,NA,307,NA,NA,NA,NA,NA,495,NA,NA,NA,NA,NA,1047,NA,NA,NA
Baldwin Wallace University,5,225,2874,125,22,458,9,234,2940,102,21,485,19,255,3013,120,22,504,27,620,2722,122,19,486,38,588,2736,106,21,490,46,611,2768,118,14,496,19,665,2824,93,10,558
Baldy View Regional Occupational Program,NA,NA,26,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ball State University,785,4455,10920,4252,347,1125,781,5159,11064,3889,400,1220,769,4972,11270,3328,326,1333,677,4942,10983,2822,381,1391,622,4617,11176,2431,360,1449,560,3145,12595,2452,328,1423,425,3387,12840,2349,444,1608
Baltimore City Community College,468,1297,2758,NA,NA,NA,523,1228,2437,NA,NA,NA,299,1145,2965,NA,NA,NA,896,1132,2698,NA,NA,NA,582,1218,3224,NA,NA,NA,432,1248,3714,NA,NA,NA,361,1573,3540,NA,NA,NA
Baltimore Studio of Hair Design,NA,NA,35,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,55,NA,NA,NA,0,0,62,NA,NA,NA,0,0,72,NA,NA,NA,0,0,78,NA,NA,NA
Bancroft School of Massage Therapy,NA,NA,45,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,62,NA,NA,NA,0,0,70,NA,NA,NA,0,0,66,NA,NA,NA,0,0,61,NA,NA,NA
Bank Street College of Education,NA,NA,NA,49,17,483,NA,NA,NA,43,33,628,NA,NA,NA,47,0,569,NA,NA,NA,30,0,620,NA,NA,NA,0,91,656,NA,NA,NA,10,176,660,NA,NA,NA,12,58,859
Baptist Bible College,0,77,161,3,4,11,3,69,196,0,3,26,5,75,240,11,4,16,5,61,282,19,8,26,15,0,302,24,32,0,8,71,226,18,10,34,12,110,199,24,9,36
Baptist Health College Little Rock,4,7,637,NA,NA,NA,3,129,544,NA,NA,NA,4,0,657,NA,NA,NA,2,0,661,NA,NA,NA,1,0,801,NA,NA,NA,0,0,918,NA,NA,NA,2,0,908,NA,NA,NA
Baptist Health System School of Health Professions,80,522,42,5,0,0,128,485,45,7,0,0,242,401,0,NA,NA,NA,272,414,0,NA,NA,NA,78,381,41,NA,NA,NA,34,364,46,NA,NA,NA,18,373,59,NA,NA,NA
Baptist Memorial College of Health Sciences,34,354,668,8,0,0,36,260,779,NA,NA,NA,12,89,976,NA,NA,NA,22,149,908,NA,NA,NA,11,72,1087,NA,NA,NA,1,60,1040,NA,NA,NA,18,125,900,NA,NA,NA
Baptist Missionary Association Theological Seminary,33,14,13,58,7,16,45,14,8,43,24,27,57,18,8,48,22,21,27,12,26,28,20,20,24,18,16,35,15,29,20,21,14,13,23,32,15,12,28,3,10,51
Baptist Theological Seminary at Richmond,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,70,NA,NA,NA,11,32,35,NA,NA,NA,20,35,22,NA,NA,NA,6,29,63
Baptist University of the Americas,6,38,110,NA,NA,NA,0,41,136,NA,NA,NA,0,5,226,NA,NA,NA,7,0,188,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,198,NA,NA,NA
Barber & Beauty Institute of New York,NA,NA,58,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,56,NA,NA,NA,0,0,61,NA,NA,NA,NA,NA,75,NA,NA,NA,0,0,51,NA,NA,NA
Barber Institute of Texas,NA,NA,6,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,12,NA,NA,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barber School of Pittsburgh,NA,NA,78,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,38,NA,NA,NA,0,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barber Tech Academy,NA,NA,47,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barclay College,47,3,163,29,1,0,65,17,147,30,0,0,73,28,149,42,0,0,61,19,156,37,0,0,52,41,136,9,13,0,59,12,163,26,0,0,38,26,175,9,15,0
Bard College,NA,NA,1882,NA,NA,325,NA,NA,1938,NA,NA,355,NA,NA,1970,NA,NA,334,NA,NA,2042,NA,NA,290,NA,NA,2112,0,35,322,NA,NA,2873,NA,NA,341,NA,NA,2022,NA,NA,320
Bard College at Simon's Rock,NA,NA,396,NA,NA,NA,NA,NA,401,NA,NA,NA,NA,NA,372,NA,NA,NA,NA,NA,329,NA,NA,NA,NA,NA,329,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,354,NA,NA,NA
Barnard College,NA,NA,2562,NA,NA,NA,NA,NA,2544,NA,NA,NA,NA,NA,2510,NA,NA,NA,NA,NA,2548,NA,NA,NA,NA,NA,2573,NA,NA,NA,NA,NA,2498,NA,NA,NA,NA,NA,2504,NA,NA,NA
Barnes-Jewish College Goldfarb School of Nursing,17,0,545,3,0,69,19,0,550,3,4,57,18,0,529,4,0,68,33,0,532,7,0,82,27,0,565,30,0,93,43,0,611,11,0,153,53,0,578,15,0,187
Barrett and Company School of Hair Design,NA,NA,51,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,65,NA,NA,NA,0,0,70,NA,NA,NA,0,0,93,NA,NA,NA,0,0,75,NA,NA,NA
Barry University,139,383,2961,249,173,3281,252,458,2795,258,123,3472,216,208,3117,218,186,3459,160,363,3253,188,114,3893,90,326,3580,185,155,4182,58,329,3954,110,162,4417,41,239,4339,71,102,4278
Barstow Community College,1313,893,846,NA,NA,NA,1312,858,907,NA,NA,NA,1052,1102,1131,NA,NA,NA,1086,958,1064,NA,NA,NA,6,44,1809,NA,NA,NA,1286,796,1129,NA,NA,NA,1224,663,1266,NA,NA,NA
Barton College,37,410,529,16,20,47,1,243,643,7,10,56,0,256,732,9,8,46,4,259,722,7,10,45,7,192,811,13,0,12,1,12,1044,0,7,1,0,10,1104,0,12,0
Barton County Community College,1987,166,2084,NA,NA,NA,1678,203,2347,NA,NA,NA,1530,195,2627,NA,NA,NA,1690,197,2928,NA,NA,NA,1693,154,3445,NA,NA,NA,1751,175,3284,NA,NA,NA,1756,191,3058,NA,NA,NA
Bastyr University,NA,NA,161,0,56,881,NA,NA,197,0,61,937,NA,NA,244,NA,NA,1014,NA,NA,277,NA,NA,987,NA,NA,245,NA,NA,950,NA,NA,259,NA,NA,856,NA,NA,223,NA,NA,805
Bates College,NA,NA,1832,NA,NA,NA,NA,NA,1787,NA,NA,NA,NA,NA,1780,NA,NA,NA,NA,NA,1792,NA,NA,NA,NA,NA,1773,NA,NA,NA,NA,NA,1791,NA,NA,NA,NA,NA,1753,NA,NA,NA
Bates Technical College,457,271,3717,NA,NA,NA,412,203,2833,NA,NA,NA,373,145,2773,NA,NA,NA,307,103,2862,NA,NA,NA,41,82,2784,NA,NA,NA,179,81,3444,NA,NA,NA,97,73,3988,NA,NA,NA
Baton Rouge Community College,935,2882,4425,NA,NA,NA,657,1133,6118,NA,NA,NA,635,1258,5404,NA,NA,NA,393,1151,6279,NA,NA,NA,369,1129,6242,NA,NA,NA,16,147,7880,NA,NA,NA,348,1344,7414,NA,NA,NA
Baton Rouge General Medical Center-School of Nursing,NA,NA,98,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,96,NA,NA,NA,0,0,63,NA,NA,NA,0,0,56,NA,NA,NA,0,0,56,NA,NA,NA
Baton Rouge School of Computers,NA,NA,58,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,80,NA,NA,NA
Bay Area Medical Academy,NA,NA,152,NA,NA,NA,NA,NA,143,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,NA,123,NA,NA,NA,0,0,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bay Atlantic University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bay de Noc Community College,437,617,881,NA,NA,NA,414,562,877,NA,NA,NA,339,582,921,NA,NA,NA,334,582,937,NA,NA,NA,324,559,1141,NA,NA,NA,297,630,1378,NA,NA,NA,236,831,1378,NA,NA,NA
Bay Mills Community College,223,117,137,NA,NA,NA,201,112,135,NA,NA,NA,240,45,182,NA,NA,NA,231,153,157,NA,NA,NA,221,122,212,NA,NA,NA,168,112,251,NA,NA,NA,161,112,263,NA,NA,NA
Bay Path University,886,382,655,615,285,621,823,447,677,362,213,776,630,285,978,376,320,636,490,0,1366,421,59,771,263,0,1321,122,166,715,89,581,788,61,390,448,61,265,1232,208,122,482
Bay State College,103,317,280,NA,NA,NA,117,271,329,NA,NA,NA,127,219,543,NA,NA,NA,80,302,687,NA,NA,NA,203,159,746,NA,NA,NA,115,154,935,NA,NA,NA,101,171,1449,NA,NA,NA
Bay State School of Technology,NA,NA,123,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,126,NA,NA,NA,0,0,121,NA,NA,NA,0,0,152,NA,NA,NA,0,0,200,NA,NA,NA,0,0,208,NA,NA,NA
Bayamon Community College,NA,NA,128,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,255,NA,NA,NA,NA,NA,263,NA,NA,NA,0,0,207,NA,NA,NA,0,0,147,NA,NA,NA,0,0,196,NA,NA,NA
Baylor College of Medicine,NA,NA,NA,0,71,1510,NA,NA,NA,0,46,1539,NA,NA,NA,0,22,1547,NA,NA,NA,0,21,1551,NA,NA,NA,0,17,1567,NA,NA,NA,0,22,1530,NA,NA,NA,0,16,1509
Baylor University,0,508,13680,415,12,2602,0,388,13928,241,13,2489,0,0,14348,215,0,2396,NA,NA,14189,147,0,2451,NA,NA,13859,29,0,2375,NA,NA,13292,NA,NA,2324,NA,NA,12918,NA,NA,2446
Bayshire Academy of Beauty Craft Inc,NA,NA,125,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,56,NA,NA,NA
Be'er Yaakov Talmudic Seminary,NA,NA,569,NA,NA,NA,NA,NA,510,NA,NA,NA,NA,NA,532,NA,NA,NA,NA,NA,469,NA,NA,NA,NA,NA,382,NA,NA,NA,NA,NA,298,NA,NA,NA,NA,NA,255,NA,NA,NA
Beacon College,NA,NA,400,NA,NA,NA,NA,NA,348,NA,NA,NA,NA,NA,314,NA,NA,NA,NA,NA,274,NA,NA,NA,NA,NA,223,NA,NA,NA,NA,NA,190,NA,NA,NA,NA,NA,186,NA,NA,NA
Beal College,0,0,207,NA,NA,NA,NA,NA,248,NA,NA,NA,NA,NA,301,NA,NA,NA,NA,NA,331,NA,NA,NA,NA,NA,429,NA,NA,NA,NA,NA,464,NA,NA,NA,NA,NA,457,NA,NA,NA
Beau Monde College of Hair Design,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,96,NA,NA,NA,0,0,136,NA,NA,NA,0,0,126,NA,NA,NA,0,0,136,NA,NA,NA
Beau Monde College of Hair Design-Beau Monde Academy of Cosmetology,NA,NA,116,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,64,NA,NA,NA,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beaufort County Community College,328,578,637,NA,NA,NA,342,577,581,NA,NA,NA,309,509,704,NA,NA,NA,300,528,992,NA,NA,NA,363,759,913,NA,NA,NA,183,901,935,NA,NA,NA,151,1318,495,NA,NA,NA
Beaumont Adult School,NA,NA,90,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,143,NA,NA,NA
Beauty Academy of South Florida,NA,NA,213,NA,NA,NA,NA,NA,241,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,215,NA,NA,NA,0,0,239,NA,NA,NA,0,0,114,NA,NA,NA,0,0,152,NA,NA,NA
Beauty Anatomy Institute of Cosmetology and Wellness,NA,NA,117,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,40,NA,NA,NA,0,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beauty School of Middletown,NA,NA,17,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,56,NA,NA,NA,0,0,73,NA,NA,NA,0,0,68,NA,NA,NA,0,0,66,NA,NA,NA
Beauty Schools of America,NA,NA,84,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,296,NA,NA,NA,0,0,349,NA,NA,NA,0,0,380,NA,NA,NA,0,0,353,NA,NA,NA
Beauty Schools of America-Hialeah,NA,NA,339,NA,NA,NA,NA,NA,322,NA,NA,NA,NA,NA,518,NA,NA,NA,NA,NA,737,NA,NA,NA,0,0,877,NA,NA,NA,0,0,777,NA,NA,NA,0,0,740,NA,NA,NA
Beauty Schools of America-Homestead,NA,NA,243,NA,NA,NA,NA,NA,261,NA,NA,NA,NA,NA,348,NA,NA,NA,NA,NA,508,NA,NA,NA,0,0,613,NA,NA,NA,0,0,655,NA,NA,NA,0,0,696,NA,NA,NA
Beauty Schools of America-Miami,NA,NA,201,NA,NA,NA,NA,NA,221,NA,NA,NA,NA,NA,290,NA,NA,NA,NA,NA,412,NA,NA,NA,0,0,575,NA,NA,NA,0,0,631,NA,NA,NA,0,0,570,NA,NA,NA
Beauty Schools of America-North Miami Beach,NA,NA,126,NA,NA,NA,NA,NA,153,NA,NA,NA,NA,NA,242,NA,NA,NA,NA,NA,323,NA,NA,NA,0,0,416,NA,NA,NA,0,0,482,NA,NA,NA,0,0,411,NA,NA,NA
Beauty Technical College Inc,NA,NA,24,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,23,NA,NA,NA,0,0,29,NA,NA,NA,NA,NA,24,NA,NA,NA,0,0,44,NA,NA,NA
Beaver Falls Beauty Academy,NA,NA,26,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,36,NA,NA,NA,0,0,43,NA,NA,NA,0,0,49,NA,NA,NA,NA,NA,50,NA,NA,NA
Becker College,97,1249,478,0,0,15,59,473,1350,0,0,10,53,448,1677,0,0,11,87,407,1654,NA,NA,5,41,479,1501,NA,NA,NA,22,249,1631,NA,NA,NA,25,284,1517,NA,NA,NA
Beckfield College-Florence,120,567,0,NA,NA,NA,140,477,0,NA,NA,NA,120,458,0,NA,NA,NA,117,337,208,NA,NA,NA,79,156,477,NA,NA,NA,65,193,549,NA,NA,NA,28,92,638,NA,NA,NA
Beis Medrash Heichal Dovid,NA,NA,108,NA,NA,17,NA,NA,110,NA,NA,15,NA,NA,108,NA,NA,16,NA,NA,105,NA,NA,20,NA,NA,93,NA,NA,18,NA,NA,96,NA,NA,17,NA,NA,111,NA,NA,12
Bel-Rea Institute of Animal Technology,NA,NA,275,NA,NA,NA,NA,NA,321,NA,NA,NA,NA,NA,381,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,489,NA,NA,NA,NA,NA,576,NA,NA,NA,NA,NA,682,NA,NA,NA
Belanger School of Nursing,0,67,38,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,123,NA,NA,NA,0,0,132,NA,NA,NA
Belhaven University,453,80,1774,1328,93,477,441,71,1970,1314,102,560,592,81,2041,1424,131,489,473,92,2198,947,59,694,306,65,2195,693,45,810,278,59,2412,450,23,803,212,57,2292,296,14,665
Bell Mar Beauty College,NA,NA,90,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,68,NA,NA,NA,0,0,76,NA,NA,NA,0,0,75,NA,NA,NA,0,0,93,NA,NA,NA
Bella Academy of Cosmetology,NA,NA,23,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bella Capelli Academy,NA,NA,212,NA,NA,NA,NA,NA,181,NA,NA,NA,NA,NA,214,NA,NA,NA,NA,NA,233,NA,NA,NA,0,0,209,NA,NA,NA,0,0,89,NA,NA,NA,0,0,91,NA,NA,NA
Bella Cosmetology College,NA,NA,89,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bellarmine University,4,148,2400,112,23,682,2,54,2488,77,28,1108,5,0,2642,51,3,1272,8,6,2637,13,5,1177,NA,NA,2585,NA,NA,1024,NA,NA,2593,NA,NA,826,NA,NA,2730,NA,NA,872
Belle Academy of Cosmetology,NA,NA,8,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bellevue College,2685,3050,7491,NA,NA,NA,2545,2947,7830,NA,NA,NA,2571,2836,8099,NA,NA,NA,2327,2544,8527,NA,NA,NA,2482,2589,8398,NA,NA,NA,2548,2539,8733,NA,NA,NA,2428,2427,8629,NA,NA,NA
Bellevue University,5052,312,1090,2638,211,318,4348,500,896,2500,232,179,4393,305,856,2679,437,226,4791,416,966,2862,447,278,4861,399,1031,2932,300,356,4659,459,1084,2988,284,314,4522,478,1266,3066,287,323
Bellin College,29,96,303,2,32,15,0,120,275,0,35,10,1,90,296,0,11,32,0,0,326,0,14,31,0,0,305,0,16,30,0,0,286,0,30,9,NA,NA,248,NA,NA,23
Bellingham Technical College,272,525,1519,NA,NA,NA,302,591,1499,NA,NA,NA,268,535,1623,NA,NA,NA,233,502,1668,NA,NA,NA,209,404,1688,NA,NA,NA,138,343,1777,NA,NA,NA,152,346,1936,NA,NA,NA
Bellus Academy,NA,NA,171,NA,NA,NA,NA,NA,191,NA,NA,NA,NA,NA,194,NA,NA,NA,NA,NA,159,NA,NA,NA,0,0,216,NA,NA,NA,0,0,216,NA,NA,NA,0,0,212,NA,NA,NA
Bellus Academy-Chula Vista,NA,NA,202,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,199,NA,NA,NA,NA,NA,164,NA,NA,NA,0,0,177,NA,NA,NA,0,0,185,NA,NA,NA,0,0,199,NA,NA,NA
Bellus Academy-El Cajon,NA,NA,159,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,173,NA,NA,NA,NA,NA,118,NA,NA,NA,0,0,145,NA,NA,NA,0,0,184,NA,NA,NA,0,0,175,NA,NA,NA
Bellus Academy-Poway,NA,NA,335,NA,NA,NA,NA,NA,387,NA,NA,NA,NA,NA,365,NA,NA,NA,NA,NA,300,NA,NA,NA,0,0,369,NA,NA,NA,0,0,372,NA,NA,NA,0,0,364,NA,NA,NA
Belmont Abbey College,0,123,1433,NA,NA,NA,0,8,1547,NA,NA,NA,0,77,1446,NA,NA,NA,NA,NA,1495,NA,NA,NA,NA,NA,1560,NA,NA,NA,NA,NA,1647,NA,NA,NA,NA,NA,1706,NA,NA,NA
Belmont College,37,178,767,NA,NA,NA,49,213,888,NA,NA,NA,44,155,1003,NA,NA,NA,28,108,938,NA,NA,NA,51,141,850,NA,NA,NA,38,128,1093,NA,NA,NA,15,241,1362,NA,NA,NA
Belmont University,22,1814,4830,0,42,1552,17,2397,4083,0,34,1481,17,1924,4352,0,33,1397,9,1605,4369,0,32,1335,6,1032,4799,0,31,1376,NA,NA,5506,NA,NA,1409,0,0,5289,0,0,1376
Beloit College,NA,NA,1275,NA,NA,NA,NA,NA,1402,NA,NA,NA,NA,NA,1394,NA,NA,NA,NA,NA,1358,NA,NA,NA,NA,NA,1303,NA,NA,NA,NA,NA,1306,NA,NA,NA,NA,NA,1330,NA,NA,NA
Bemidji State University,1022,865,2803,349,19,53,936,906,2973,310,23,47,828,943,3037,274,13,43,777,1007,3007,242,14,34,704,913,3137,167,10,55,686,829,3212,164,13,59,674,704,3376,177,9,87
Ben Franklin Career Center,NA,NA,45,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,399,NA,NA,NA,NA,NA,435,NA,NA,NA,NA,NA,477,NA,NA,NA,NA,NA,468,NA,NA,NA
Bene's Career Academy,NA,NA,355,NA,NA,NA,NA,NA,305,NA,NA,NA,NA,NA,338,NA,NA,NA,NA,NA,369,NA,NA,NA,0,0,307,NA,NA,NA,0,0,281,NA,NA,NA,0,0,285,NA,NA,NA
Benedict College,NA,NA,2165,NA,NA,NA,NA,NA,2090,NA,NA,NA,NA,NA,2281,NA,NA,NA,NA,NA,2465,NA,NA,NA,NA,NA,2444,NA,NA,NA,NA,NA,2512,NA,NA,NA,NA,NA,2917,NA,NA,NA
Benedictine College,0,0,2057,0,0,67,0,0,2085,5,8,68,0,0,2245,0,10,57,0,0,2133,NA,NA,56,0,0,2100,NA,NA,38,1,0,2112,NA,NA,64,0,0,2086,NA,NA,63
Benedictine University,146,479,2093,1333,76,813,151,353,2380,1372,113,731,107,254,2810,1398,63,1260,125,354,2868,1389,180,1038,145,296,3377,1382,100,1007,166,204,3458,1403,43,1044,156,134,3434,1616,62,1114
Benjamin Franklin Institute of Technology,NA,NA,630,NA,NA,NA,NA,NA,609,NA,NA,NA,NA,NA,573,NA,NA,NA,NA,NA,596,NA,NA,NA,NA,NA,507,NA,NA,NA,NA,NA,482,NA,NA,NA,NA,NA,475,NA,NA,NA
Bennett Career Institute,NA,NA,293,NA,NA,NA,NA,NA,312,NA,NA,NA,NA,NA,338,NA,NA,NA,NA,NA,311,NA,NA,NA,0,0,311,NA,NA,NA,0,0,294,NA,NA,NA,0,0,288,NA,NA,NA
